City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
6165406,Thompson,CA,55.7435,-97.8558,23.16,93,90,4.61
4030556,Rikitea,PF,-23.1203,-134.9692,72.95,74,99,11.5
5882953,Aklavik,CA,68.2191,-135.0107,17.6,93,90,12.66
6201424,Mataura,NZ,-46.1927,168.8643,46.96,100,100,1.21
1507390,Dikson,RU,73.5069,80.5464,-2.76,91,99,9.84
2022572,Khatanga,RU,71.9667,102.5,-13.58,89,75,5.73
4020109,Atuona,PF,-9.8,-139.0333,78.57,63,20,14.25
3440777,Rocha,UY,-34.4833,-54.3333,73.99,47,0,17.34
286245,Sur,OM,22.5667,59.5289,76.68,48,4,3.65
2121385,Severo-Kuril'sk,RU,50.6789,156.125,38.59,76,74,18.21
1529484,Kumul,CN,42.8,93.45,29.71,47,0,2.71
935215,Saint-Philippe,RE,-21.3585,55.7679,74.79,82,85,11.36
1528998,Yumen,CN,40.2833,97.2,28.87,41,57,17.31
3418910,Upernavik,GL,72.7868,-56.1549,5.47,93,99,5.95
2094342,Kavieng,PG,-2.5744,150.7967,81.18,74,81,11.05
2122389,Ossora,RU,59.2353,163.0719,35.01,98,100,4.18
2155415,New Norfolk,AU,-42.7826,147.0587,41.27,76,52,1.01
5880054,Barrow,US,71.2906,-156.7887,15.82,73,90,12.66
2163355,Hobart,AU,-42.8794,147.3294,41.77,87,29,1.01
1250161,Batticaloa,LK,7.7102,81.6924,81.01,77,89,4.61
4033543,Teahupoo,PF,-17.8333,-149.2667,75.16,66,93,12.55
5720495,Coos Bay,US,43.3665,-124.2179,60.3,100,1,10.36
3833367,Ushuaia,AR,-54.8,-68.3,60.46,31,20,9.22
4032243,Vaini,TO,-21.2,-175.2,75.36,88,40,6.91
5153924,Findlay,US,41.0442,-83.6499,41.72,65,90,24.16
5122534,Jamestown,US,42.097,-79.2353,34.02,91,90,8.99
3423146,Ilulissat,GL,69.2167,-51.1,-0.38,50,20,2.3
3369157,Cape Town,ZA,-33.9258,18.4232,65.05,69,0,1.99
5044290,Saint Anthony,US,45.0205,-93.218,32.88,70,90,1.99
4845585,Westport,US,41.1415,-73.3579,60.71,67,1,1.99
1282256,Hithadhoo,MV,-0.6,73.0833,82.35,76,73,13.06
128477,Kashan,IR,33.9831,51.4364,55.15,52,0,3.65
962367,Richards Bay,ZA,-28.783,32.0377,70.34,83,90,3.02
5546220,Saint George,US,37.1041,-113.5841,61.56,40,1,1.99
3985710,Cabo San Lucas,MX,22.8909,-109.9124,84.47,60,1,1.01
778707,Mehamn,NO,71.0357,27.8492,32.49,75,99,21.3
5282297,Bethel,US,41.3712,-73.414,59.34,64,20,3.0
3416888,Grindavik,IS,63.8424,-22.4338,48.67,93,90,37.98
3372964,Lagoa,PT,39.05,-27.9833,62.51,74,100,16.04
5367788,Lompoc,US,34.6391,-120.4579,78.1,35,1,5.75
1015776,Bredasdorp,ZA,-34.5322,20.0403,61.29,78,61,9.24
3471451,Arraial do Cabo,BR,-22.9661,-42.0278,71.46,56,75,12.66
2208248,Kaitangata,NZ,-46.2817,169.8464,48.67,96,100,4.38
339219,Dessie,ET,11.1333,39.6333,56.01,63,86,2.24
2476396,Timizart,DZ,36.8,4.2667,56.05,84,30,5.73
2206939,Bluff,NZ,-46.6,168.3333,48.76,91,100,10.92
1640902,Kawalu,ID,-7.3817,108.2082,72.64,98,100,2.19
5712169,Baker City,US,44.7749,-117.8344,50.67,90,72,3.04
5866583,Saint Paul Harbor,US,57.79,-152.4072,20.71,68,20,5.75
4031742,Egvekinot,RU,66.3167,-179.1667,1.76,93,85,3.56
5924351,Clyde River,CA,70.4692,-68.5914,-5.57,77,20,13.8
6255012,Flinders,AU,-34.5833,150.8552,55.35,69,82,3.0
3433715,Goya,AR,-29.14,-59.2626,98.83,25,0,10.63
1013076,Colesberg,ZA,-30.72,25.0972,73.63,25,66,16.4
2071860,Esperance,AU,-33.8667,121.9,44.44,76,7,9.62
2075265,Busselton,AU,-33.65,115.3333,53.04,70,1,17.29
6355222,Yulara,AU,-25.2406,130.9889,55.24,62,0,6.91
2445553,Dogondoutchi,NE,13.6393,4.0287,90.25,16,43,3.71
3831208,Qaanaaq,GL,77.484,-69.3632,-8.93,56,0,8.16
3372707,Ribeira Grande,PT,38.5167,-28.7,63.0,72,75,10.36
5972291,Havre-St-Pierre,CA,50.2334,-63.5986,38.17,100,90,4.61
3366880,Hermanus,ZA,-34.4187,19.2345,61.81,82,41,6.62
3395497,Maracaçumé,BR,-2.0428,-45.9592,87.12,60,71,6.35
2212775,Sabha,LY,27.0377,14.4283,76.6,22,100,10.47
3874787,Punta Arenas,CL,-53.15,-70.9167,60.91,33,75,23.02
6111862,Port Hardy,CA,50.6996,-127.4199,42.98,100,90,2.3
